Material Inner,Material Outer,MAWP (Pa),Tank Volume (m^3),Tank Mass (kg),Mass Error (kg),Inner Tank Thickness (m),Outer Tank Thickness (m),Vacuum Gap (m),Inner Tank Length (m),Vh2 (m^3),R_in (m),CO2 (kg),Embodied Energy (MJ),Angle of winding inner,Angle of winding outer,P_vent,Qleak,Q_cond,Q_rad,dv_list,Outer Tank Length (m),Outer Tank Radius (m)
Al-7075-T6,Al-7075-T6,1200000,5.551852855211502,505.58200973802667,-330.21027597625914,0.0023123169872089557,0.001,0.03661455863840923,3.278646297670255,4.910273322573009,0.75,1975.744414637259,31817.50704058363,0,0,500000,135.5894395164858,98.67767172010879,36.51179266237792,"[0.0366145439790623, 0.03661455863840923]",3.358560048921491,0.7899568756256181
Al-7075-T6,G10,1200000,5.551819499152734,490.6622150206769,-345.1300706936089,0.0023123169872089557,0.001,0.036612557674895393,3.278646297670255,4.910273322573009,0.75,1841.1847492179045,30569.449824500967,0,47.5,500000,135.5894395164858,98.68200197793273,36.51179266237792,"[0.036609920949152476, 0.036612557674895393]",3.3585560469944635,0.7899548746621042
Al-7075-T6,SS-304,1200000,5.551851429491015,591.5159909078342,-244.27629480645163,0.0023123169872089557,0.001,0.036614473112430074,3.278646297670255,4.910273322573009,0.75,2009.7345415368945,32538.922503983093,0,0,500000,135.5894395164858,98.6778253277365,36.51179266237792,"[0.03661434637999058, 0.036614473112430074]",3.3585598778695327,0.7899567900996389
Al-7075-T6,Carbon Fibre UD (Prepreg),1200000,5.551848281848782,484.99450993308034,-350.7977757812055,0.0023123169872089557,0.001,0.03661428429193163,3.278646297670255,4.910273322573009,0.75,2939.8132199179163,45875.374921646355,0,44.1,500000,135.5894395164858,98.67828020972786,36.51179266237792,"[0.036613910129343744, 0.03661428429193163]",3.3585595002285356,0.7899566012791405
Al-7075-T6,SS-316,1200000,5.551851375750781,591.766040513884,-244.02624520040177,0.0023123169872089557,0.001,0.036614469888665846,3.278646297670255,4.910273322573009,0.75,2178.5527339186997,33479.63291906511,0,0,500000,135.5894395164858,98.6778312768696,36.51179266237792,"[0.036614338931810896, 0.036614469888665846]",3.3585598714220044,0.7899567868758748
G10,Al-7075-T6,1200000,5.540781112807355,473.40150155506666,-362.39078415921915,0.0016977092699636044,0.001,0.03656458483877375,3.278646297670255,4.910273322573009,0.75,1791.3451571075216,31640.202732420286,50.600000000000044,0,500000,135.5894395164858,98.72115732625979,36.46830710297691,"[0.03656457704193577, 0.03656458483877375]",3.3572308858877298,0.7892922941087374
G10,G10,1200000,5.540747798018122,458.5001582032574,-377.2921275110284,0.0016977092699636044,0.001,0.03656258387632559,3.278646297670255,4.910273322573009,0.75,1656.9519022746467,30393.688990620638,50.600000000000044,40.300000000000004,500000,135.5894395164858,98.72549584309911,36.46830710297691,"[0.03656118148728808, 0.03656258387632559]",3.3572268839628334,0.7892902931462892
G10,SS-304,1200000,5.540779688850831,559.2292073610231,-276.5630783532627,0.0016977092699636044,0.001,0.036564499312840275,3.278646297670255,4.910273322573009,0.75,1825.2932480587242,32360.726014015607,50.600000000000044,0,500000,135.5894395164858,98.7213112591281,36.46830710297691,"[0.036564431907910075, 0.036564499312840275]",3.3572307148358624,0.7892922085828038
G10,Carbon Fibre UD (Prepreg),1200000,5.540776545102994,452.8394624921978,-382.952823222088,0.0016977092699636044,0.001,0.03656431049244252,3.278646297670255,4.910273322573009,0.75,2754.22168910899,45680.685111512386,50.600000000000044,40.2,500000,135.5894395164858,98.72176696122109,36.46830710297691,"[0.03656411148734629, 0.03656431049244252]",3.357230337195067,0.789292019762406
G10,SS-316,1200000,5.540779635177083,559.4789477278287,-276.31333798645716,0.0016977092699636044,0.001,0.03656449608907765,3.278646297670255,4.910273322573009,0.75,1993.9026613998715,33300.27304369664,50.600000000000044,0,500000,135.5894395164858,98.72131722066118,36.46830710297691,"[0.03656442643731622, 0.03656449608907765]",3.3572307083883373,0.7892922053590412
SS-304,Al-7075-T6,1200000,5.590171226333336,952.0741660138991,116.2818802996133,0.004445036538518186,0.001,0.0367755779250666,3.278646297670255,4.910273322573009,0.75,2836.521530334708,44590.60791314295,0,0,500000,135.5894395164858,98.52660127894289,36.6628629424256,"[0.036775539493397694, 0.0367755779250666]",3.363147526597424,0.7922506144635847
SS-304,G10,1200000,5.590137727666033,937.0906118755664,101.29832616128061,0.004445036538518186,0.001,0.036773576957888195,3.278646297670255,4.910273322573009,0.75,2701.386826573349,43337.21716083983,0,2.5,500000,135.5894395164858,98.53090307567791,36.6628629424256,"[0.03676666436885698, 0.036773576957888195]",3.3631435246630677,0.7922486134964063
SS-304,SS-304,1200000,5.590169794517412,1038.3753858944638,202.58310018017795,0.004445036538518186,0.001,0.03677549239893062,3.278646297670255,4.910273322573009,0.75,2870.6569141119626,45315.10634595142,0,0,500000,135.5894395164858,98.52675376645281,36.6628629424256,"[0.0367751601508568, 0.03677549239893062]",3.363147355545152,0.7922505289374487
SS-304,Carbon Fibre UD (Prepreg),1200000,5.590166633417937,931.3986856107007,95.60639989641487,0.004445036538518186,0.001,0.036775303578085894,3.278646297670255,4.910273322573009,0.75,3804.7102829498895,58708.5520818765,0,52.6,500000,135.5894395164858,98.5272058213186,36.6628629424256,"[0.03677432265456867, 0.036775303578085894]",3.3631469779034626,0.792250340116604
SS-304,SS-316,1200000,5.590169740547419,1038.6265040889182,202.83421837463237,0.004445036538518186,0.001,0.03677548917516061,3.278646297670255,4.910273322573009,0.75,3040.196550701938,46259.83688516457,0,0,500000,135.5894395164858,98.52675967287786,36.6628629424256,"[0.036775145852147084, 0.03677548917516061]",3.3631473490976123,0.7922505257136787
Carbon Fibre UD (Prepreg),Al-7075-T6,1200000,5.5373354363285126,459.7408869118341,-376.05139880245173,0.0015023207350573073,0.001,0.036552978645268026,3.278646297670255,4.910273322573009,0.75,3279.4070491870475,52280.19222641524,50.600000000000044,0,500000,135.5894395164858,98.7349770572059,36.45448738675073,"[0.03655297303118727, 0.036552978645268026]",3.3568168964309058,0.7890852993803253
Carbon Fibre UD (Prepreg),G10,1200000,5.537302134388808,444.84528850901575,-390.94699720527007,0.0015023207350573073,0.001,0.03655097768315226,3.278646297670255,4.910273322573009,0.75,3145.0656073394257,51034.15905506494,50.600000000000044,0.1,500000,135.5894395164858,98.73931817414118,36.45448738675073,"[0.03654996789899374, 0.03655097768315226]",3.3568128945066738,0.7890832984182096
Carbon Fibre UD (Prepreg),SS-304,1200000,5.537334012921209,545.5355032132652,-290.2567825010206,0.0015023207350573073,0.001,0.036552893119348805,3.278646297670255,4.910273322573009,0.75,3313.3420519807023,53000.437721581315,50.600000000000044,0,500000,135.5894395164858,98.73513109238024,36.45448738675073,"[0.03655284458470905, 0.036552893119348805]",3.3568167253790673,0.7890852138544061
Carbon Fibre UD (Prepreg),Carbon Fibre UD (Prepreg),1200000,5.537330870385918,439.1867752115239,-396.6055105027619,0.0015023207350573073,0.001,0.03655270429898245,3.278646297670255,4.910273322573009,0.75,4241.912359386637,66315.261519866,50.600000000000044,49.900000000000006,500000,135.5894395164858,98.73558705278299,36.45448738675073,"[0.036552561006193585, 0.03655270429898245]",3.3568163477383344,0.7890850250340398
Carbon Fibre UD (Prepreg),SS-316,1200000,5.5373339592681665,545.7851472964828,-290.007138417803,0.0015023207350573073,0.001,0.03655288989558695,3.278646297670255,4.910273322573009,0.75,3481.886460651338,53939.62252388344,50.600000000000044,0,500000,135.5894395164858,98.73513705781374,36.45448738675073,"[0.036552839743125495, 0.03655288989558695]",3.356816718931543,0.7890852106306442
